"EventType","Full Waveform"
"SampleRate","2048 sps"
"Channel","Tran"
"Channel","Vert"
"Channel","Long"
"Units","mm/s"
"EventTime","18:03:13"
"EventDate","2021-08-31"
"RecordStopMode","Fixed"
"Pre-triggerLength","0.25 sec"
"RecordTime","3.0 sec"
"AutoStopTime","1 sec"
"Trigger","Vert"
"GeoTriggerLevel","0.270 mm/s"
"GeoRange","254.000 mm/s"
"Operator","Operator"
"Setup","Default Micromate DIN.MMB"
"TitleNote1","Location"
"TitleString1",""
"TitleNote2","Client"
"TitleString2",""
"TitleNote3","Company"
"TitleString3",""
"TitleNote4","General Notes"
"TitleString4",""
"PostEventNote",""
"SerialNumber","UM6972"
"Version","Micromate DIN 10.90"
"FileName","UM6972_20210831180313.IDFW"
"BatteryLevel","3.6 volts"
"Calibration","June 4, 2015 by Instantel"
"USBSensorSupport","Disabled"
"TranPPV","<0.127 mm/s"
"VertPPV","2.365 mm/s"
"LongPPV","0.236 mm/s"
"TranPPVPonderated","0.050 mm/s"
"VertPPVPonderated","1.197 mm/s"
"LongPPVPonderated","0.086 mm/s"
"TranPPVdB","17.9851 dB"
"VertPPVdB","7.4750 dB"
"LongPPVdB","12.5250 dB"
"TranZCFreq",">100 Hz"
"VertZCFreq","48.8 Hz"
"LongZCFreq","51.2 Hz"
"TranTimeofPeak","1.398 sec"
"VertTimeofPeak","0.549 sec"
"LongTimeofPeak","1.298 sec"
"TranPeakAcceleration","0.038 g"
"VertPeakAcceleration","0.388 g"
"LongPeakAcceleration","0.041 g"
"TranPeakDisplacement","0.000 mm"
"VertPeakDisplacement","0.007 mm"
"LongPeakDisplacement","0.000 mm"
"PeakVectorSum","2.369 mm/s"
"PeakVectorSumTimeSum","2.467 sec"
"TranTestResults","Passed"
"VertTestResults","Passed"
"LongTestResults","Passed"
"Tran","Vert","Long"
"-0.063","0.008","-0.032"
"-0.095","0.008","-0.142"
"-0.055","0.008","-0.150"
"-0.024","0.008","-0.118"
"0.000","0.008","-0.118"
"-0.008","-1.852","-0.150"
"0.039","-1.679","-0.087"
"0.047","-1.521","-0.047"
"0.016","-1.411","-0.071"
"0.000","-1.261","-0.063"
"0.000","-1.033","-0.055"
"0.024","-0.788","-0.032"
"0.008","-0.599","-0.047"
"-0.008","-0.512","-0.047"
"0.000","-0.512","-0.024"
"0.016","-0.512","-0.024"
"0.024","-0.504","-0.032"
"0.008","-0.512","-0.047"
"0.024","-0.512","-0.055"
"0.000","-0.536","-0.063"
"0.016","-0.441","-0.008"
"0.063","0.142","0.134"
"0.063","1.040","0.173"
"0.039","1.750","0.158"
"-0.016","2.160","0.142"
"-0.055","2.333","0.102"
"-0.079","2.286","0.087"
"-0.071","2.097","0.071"
"-0.055","1.915","0.071"
"-0.063","1.742","0.039"
"-0.079","1.529","0.047"
"-0.079","1.324","0.039"
"-0.063","1.127","0.047"
"-0.032","1.033","0.039"
"-0.016","1.017","0.032"
"0.008","0.993","0.047"
"0.000","0.993","0.071"
"0.000","1.009","0.079"
"-0.008","1.025","0.079"
"-0.008","1.033","0.055"
"-0.008","1.009","0.063"
"-0.071","0.694","-0.047"
"-0.095","-0.095","-0.150"
"-0.055","-0.906","-0.142"
"0.000","-1.458","-0.102"
"-0.008","-1.797","-0.150"
"-0.008","-1.900","-0.134"
"0.032","-1.695","-0.063"
"0.055","-1.529","-0.055"
"0.047","-1.411","-0.087"
"0.024","-1.261","-0.079"
"0.008","-1.040","-0.055"
"0.008","-0.796","-0.055"
"0.008","-0.607","-0.047"
"0.016","-0.536","-0.039"
"0.016","-0.520","-0.039"
"-0.008","-0.536","-0.039"
"0.000","-0.536","-0.055"
"0.000","-0.544","-0.047"
"0.000","-0.560","-0.063"
"0.008","-0.544","-0.047"
"0.047","-0.434","-0.024"
"0.095","0.205","0.126"
"0.079","1.103","0.166"
"0.024","1.789","0.166"
"-0.016","2.160","0.158"
"-0.039","2.317","0.126"
"-0.063","2.231","0.095"
"-0.055","2.041","0.063"
"-0.039","1.884","0.071"
"-0.063","1.702","0.055"
"-0.055","1.490","0.047"
"-0.063","1.261","0.039"
"-0.039","1.111","0.047"
"-0.016","1.009","0.071"
"-0.016","0.977","0.071"
"-0.008","0.946","0.071"
"0.000","0.938","0.079"
"-0.016","0.969","0.087"
"-0.008","0.993","0.079"
"-0.008","1.001","0.079"
"-0.016","0.962","0.063"
"-0.087","0.623","-0.079"
"-0.087","-0.205","-0.142"
"-0.063","-0.985","-0.142"
"0.008","-1.498","-0.087"
"-0.024","-1.868","-0.181"
"-0.032","-1.915","-0.166"
"0.032","-1.734","-0.071"
"0.047","-1.553","-0.039"
"0.024","-1.419","-0.079"
"0.008","-1.261","-0.079"
"0.032","-1.025","-0.063"
"0.016","-0.820","-0.032"
"0.016","-0.654","-0.024"
"0.024","-0.567","-0.024"
"0.016","-0.536","-0.032"
"0.016","-0.528","-0.039"
"0.008","-0.560","-0.039"
"0.000","-0.567","-0.047"
"0.000","-0.583","-0.024"
"0.000","-0.575","-0.047"
"0.039","-0.418","0.032"
"0.087","0.252","0.166"
"0.063","1.143","0.197"
"0.016","1.829","0.173"
"-0.016","2.183","0.150"
"-0.063","2.309","0.134"
"-0.087","2.215","0.095"
"-0.087","2.018","0.095"
"-0.071","1.852","0.087"
"-0.071","1.671","0.063"
"-0.063","1.450","0.032"
"-0.071","1.245","0.032"
"-0.055","1.103","0.047"
"-0.039","1.017","0.063"
"-0.039","0.985","0.071"
"-0.032","0.969","0.079"
"0.000","0.954","0.079"
"0.000","0.977","0.102"
"-0.016","0.993","0.087"
"-0.024","1.001","0.095"
"-0.016","0.962","0.063"
"-0.071","0.552","-0.063"
"-0.102","-0.276","-0.134"
"-0.063","-1.056","-0.126"
"0.024","-1.521","-0.087"
"-0.087","-1.892","-0.189"
"-0.024","-1.907","-0.134"
"0.047","-1.695","-0.071"
"0.047","-1.537","-0.047"
"0.024","-1.419","-0.063"
"0.016","-1.245","-0.071"
"0.024","-1.017","-0.047"
"0.024","-0.788","-0.024"
"0.008","-0.631","-0.024"
"0.000","-0.544","-0.016"
"0.000","-0.552","-0.032"
"0.000","-0.544","-0.055"
"0.000","-0.567","-0.055"
"0.000","-0.567","-0.047"
"0.008","-0.567","-0.032"
"0.016","-0.560","-0.039"
"0.032","-0.386","0.055"
"0.063","0.323","0.158"
"0.063","1.206","0.181"
"0.016","1.868","0.166"
"-0.047","2.207","0.158"
"-0.063","2.325","0.126"
"-0.071","2.215","0.087"
"-0.071","2.018","0.102"
"-0.055","1.829","0.071"
"-0.063","1.655","0.055"
"-0.055","1.458","0.024"
"-0.055","1.245","0.024"
"-0.055","1.080","0.024"
"-0.032","1.017","0.063"
"-0.032","0.993","0.063"
"-0.008","0.962","0.063"
"-0.008","0.969","0.079"
"0.000","0.985","0.063"
"-0.008","1.001","0.071"
"-0.008","1.009","0.071"
"-0.032","0.962","0.055"
"-0.087","0.512","-0.055"
"-0.102","-0.323","-0.142"
"-0.055","-1.072","-0.142"
"0.047","-1.513","-0.047"
"-0.071","-1.892","-0.213"
"-0.055","-1.900","-0.181"
"0.039","-1.679","-0.071"
"0.039","-1.505","-0.079"
"0.024","-1.395","-0.079"
"0.032","-1.198","-0.055"
