"EventType","Full Waveform"
"SampleRate","2048 sps"
"Channel","Tran"
"Channel","Vert"
"Channel","Long"
"Units","mm/s"
"EventTime","09:14:13"
"EventDate","2021-09-03"
"RecordStopMode","Fixed"
"Pre-triggerLength","0.25 sec"
"RecordTime","3.0 sec"
"AutoStopTime","1 sec"
"Trigger","Long"
"GeoTriggerLevel","0.270 mm/s"
"GeoRange","254.000 mm/s"
"Operator","Operator"
"Setup","Default Micromate DIN.MMB"
"TitleNote1","Location"
"TitleString1",""
"TitleNote2","Client"
"TitleString2",""
"TitleNote3","Company"
"TitleString3",""
"TitleNote4","General Notes"
"TitleString4",""
"PostEventNote",""
"SerialNumber","UM6972"
"Version","Micromate DIN 10.90"
"FileName","UM6972_20210903091413.IDFW"
"BatteryLevel","3.6 volts"
"Calibration","June 4, 2015 by Instantel"
"USBSensorSupport","Disabled"
"TranPPV","0.426 mm/s"
"VertPPV","0.166 mm/s"
"LongPPV","3.011 mm/s"
"TranPPVPonderated","0.185 mm/s"
"VertPPVPonderated","0.166 mm/s"
"LongPPVPonderated","0.504 mm/s"
"TranPPVdB","7.4196 dB"
"VertPPVdB","15.6231 dB"
"LongPPVdB","9.5738 dB"
"TranZCFreq","48.8 Hz"
"VertZCFreq","32.0 Hz"
"LongZCFreq","93.1 Hz"
"TranTimeofPeak","0.371 sec"
"VertTimeofPeak","2.386 sec"
"LongTimeofPeak","0.702 sec"
"TranPeakAcceleration","0.041 g"
"VertPeakAcceleration","0.036 g"
"LongPeakAcceleration","0.418 g"
"TranPeakDisplacement","0.001 mm"
"VertPeakDisplacement","0.001 mm"
"LongPeakDisplacement","0.003 mm"
"PeakVectorSum","3.023 mm/s"
"PeakVectorSumTimeSum","0.702 sec"
"TranTestResults","Passed"
"VertTestResults","Passed"
"LongTestResults","Passed"
"Tran","Vert","Long"
"0.071","0.024","0.008"
"0.063","0.047","-0.016"
"0.063","0.055","0.016"
"0.079","0.055","0.024"
"0.063","0.079","0.039"
"0.063","0.055","0.047"
"0.055","0.047","0.055"
"0.063","0.063","0.063"
"0.063","0.063","0.071"
"0.000","0.024","-0.166"
"-0.126","0.016","-0.544"
"-0.229","0.008","-0.717"
"-0.213","0.071","-0.662"
"-0.386","-0.102","-0.733"
"-0.386","-0.087","-0.607"
"-0.268","-0.024","-0.394"
"-0.221","0.000","-0.315"
"-0.197","-0.016","-0.268"
"-0.173","-0.047","-0.181"
"-0.150","-0.039","-0.102"
"-0.110","-0.024","0.008"
"-0.063","-0.008","0.047"
"-0.063","-0.008","0.032"
"-0.047","-0.024","0.016"
"-0.047","-0.016","-0.008"
"-0.055","-0.024","-0.024"
"-0.055","-0.024","-0.032"
"-0.039","-0.016","-0.016"
"-0.063","-0.024","-0.024"
"-0.032","0.000","0.039"
"0.079","0.039","0.465"
"0.229","0.024","0.804"
"0.315","0.047","0.851"
"0.323","0.032","0.701"
"0.323","0.032","1.033"
"0.284","0.032","1.048"
"0.236","0.055","0.725"
"0.213","0.039","0.434"
"0.158","0.039","0.236"
"0.110","0.039","0.118"
"0.079","0.039","0.150"
"0.047","0.032","0.087"
"0.039","0.039","0.039"
"0.032","0.032","0.024"
"0.047","0.032","0.055"
"0.055","0.032","0.071"
"0.063","0.039","0.087"
"0.063","0.047","0.079"
"0.047","0.039","0.079"
"0.055","0.047","0.079"
"-0.016","0.008","-0.158"
"-0.158","-0.016","-0.528"
"-0.252","-0.024","-0.694"
"-0.236","0.039","-0.631"
"-0.410","-0.110","-0.709"
"-0.418","-0.126","-0.583"
"-0.307","-0.063","-0.386"
"-0.229","-0.032","-0.300"
"-0.213","-0.055","-0.229"
"-0.173","-0.063","-0.134"
"-0.142","-0.063","-0.055"
"-0.087","-0.039","0.032"
"-0.063","-0.047","0.079"
"-0.047","-0.039","0.071"
"-0.055","-0.055","0.024"
"-0.087","-0.055","0.016"
"-0.071","-0.047","0.008"
"-0.071","-0.047","0.000"
"-0.063","-0.055","0.008"
"-0.055","-0.039","0.008"
"-0.024","-0.024","0.071"
