"EventType","Full Waveform"
"SampleRate","2048 sps"
"Channel","Tran"
"Channel","Vert"
"Channel","Long"
"Units","mm/s"
"EventTime","16:25:46"
"EventDate","2021-09-03"
"RecordStopMode","Fixed"
"Pre-triggerLength","0.25 sec"
"RecordTime","3.0 sec"
"AutoStopTime","1 sec"
"Trigger","Tran"
"GeoTriggerLevel","0.270 mm/s"
"GeoRange","254.000 mm/s"
"Operator","Operator"
"Setup","Default Micromate DIN.MMB"
"TitleNote1","Location"
"TitleString1",""
"TitleNote2","Client"
"TitleString2",""
"TitleNote3","Company"
"TitleString3",""
"TitleNote4","General Notes"
"TitleString4",""
"PostEventNote",""
"SerialNumber","UM6972"
"Version","Micromate DIN 10.90"
"FileName","UM6972_20210903162546.IDFW"
"BatteryLevel","3.7 volts"
"Calibration","June 4, 2015 by Instantel"
"USBSensorSupport","Disabled"
"TranPPV","0.504 mm/s"
"VertPPV","0.772 mm/s"
"LongPPV","5.833 mm/s"
"TranPPVPonderated","0.162 mm/s"
"VertPPVPonderated","0.542 mm/s"
"LongPPVPonderated","0.967 mm/s"
"TranPPVdB","5.9439 dB"
"VertPPVdB","2.2429 dB"
"LongPPVdB","15.3172 dB"
"TranZCFreq",">100 Hz"
"VertZCFreq","46.5 Hz"
"LongZCFreq",">100 Hz"
"TranTimeofPeak","2.632 sec"
"VertTimeofPeak","1.604 sec"
"LongTimeofPeak","2.554 sec"
"TranPeakAcceleration","0.056 g"
"VertPeakAcceleration","0.066 g"
"LongPeakAcceleration","0.992 g"
"TranPeakDisplacement","0.001 mm"
"VertPeakDisplacement","0.003 mm"
"LongPeakDisplacement","0.005 mm"
"PeakVectorSum","5.853 mm/s"
"PeakVectorSumTimeSum","2.554 sec"
"TranTestResults","Passed"
"VertTestResults","Passed"
"LongTestResults","Passed"
"Tran","Vert","Long"
"0.055","-0.504","0.008"
"0.102","-0.426","0.008"
"0.126","-0.370","0.008"
"0.071","-0.307","0.008"
"0.024","-0.307","0.008"
"0.000","-0.300","0.008"
"0.000","-0.315","0.008"
"0.016","-0.300","0.008"
"0.008","-0.292","0.008"
"0.008","-0.292","0.008"
"0.055","-0.252","0.008"
"0.307","-0.095","0.008"
"0.465","0.118","0.008"
"0.426","0.315","0.008"
"0.307","0.441","0.008"
"0.197","0.497","0.008"
"0.079","0.497","0.008"
"0.016","0.504","0.008"
"-0.063","0.457","0.008"
"-0.055","0.434","0.008"
"-0.087","0.402","0.008"
"-0.087","0.355","0.008"
"-0.142","0.276","0.008"
"-0.079","0.252","0.008"
"0.008","0.236","0.008"
"0.024","0.229","0.008"
"0.016","0.244","0.008"
"0.024","0.252","0.008"
"0.008","0.252","0.008"
"0.016","0.260","0.008"
"0.016","0.252","0.008"
"-0.142","0.150","0.008"
"-0.339","0.000","0.008"
"-0.386","-0.213","0.008"
"-0.236","-0.323","0.008"
"-0.292","-0.599","0.008"
"-0.181","-0.638","0.008"
"-0.063","-0.623","0.008"
"0.016","-0.615","0.008"
"0.047","-0.599","0.008"
"0.079","-0.528","0.008"
"0.102","-0.489","0.008"
"0.126","-0.426","0.008"
"0.134","-0.339","0.008"
"0.079","-0.300","0.008"
"0.024","-0.284","0.008"
"0.024","-0.300","0.008"
"0.016","-0.300","0.008"
"0.008","-0.300","0.008"
"-0.008","-0.300","0.008"
"0.008","-0.284","0.008"
"0.055","-0.244","0.008"
"0.315","-0.102","0.008"
"0.441","0.134","0.008"
"0.394","0.315","0.008"
"0.300","0.434","0.008"
"0.205","0.473","0.008"
"0.087","0.497","0.008"
"0.016","0.473","0.008"
"-0.055","0.441","0.008"
"-0.063","0.410","0.008"
"-0.079","0.363","0.008"
"-0.087","0.331","0.008"
"-0.150","0.252","0.008"
"-0.110","0.229","0.008"
"-0.032","0.229","0.008"
"0.008","0.236","0.008"
"0.000","0.221","0.008"
"0.008","0.221","0.008"
"0.016","0.221","0.008"
"0.024","0.221","0.008"
"0.008","0.221","0.008"
"-0.166","0.126","0.008"
"-0.355","-0.032","0.008"
"-0.402","-0.229","0.008"
